,date,volume
386,22-01-2016,49116
387,23-01-2016,0
388,24-01-2016,11445
389,25-01-2016,72064
390,26-01-2016,62712
391,27-01-2016,57498
392,28-01-2016,56007
393,29-01-2016,50491
394,30-01-2016,0
395,31-01-2016,13571
396,01-02-2016,76420
397,02-02-2016,73230
398,03-02-2016,63706
399,04-02-2016,60624
400,05-02-2016,49543
401,06-02-2016,0
402,07-02-2016,10577
403,08-02-2016,72992
404,09-02-2016,60658
405,10-02-2016,58143
406,11-02-2016,55686
407,12-02-2016,45062
408,13-02-2016,0
409,14-02-2016,10353
410,15-02-2016,66944
411,16-02-2016,55911
412,17-02-2016,50918
413,18-02-2016,49683
414,19-02-2016,42931
415,20-02-2016,0
416,21-02-2016,10376
417,22-02-2016,66007
418,23-02-2016,57917
419,24-02-2016,54172
420,25-02-2016,54287
421,26-02-2016,46359
422,27-02-2016,0
423,28-02-2016,11951
424,29-02-2016,72245
425,01-03-2016,66066
426,02-03-2016,64307
427,03-03-2016,60876
428,04-03-2016,47725
429,05-03-2016,0
430,06-03-2016,12266
431,07-03-2016,71732
432,08-03-2016,65205
433,09-03-2016,61594
434,10-03-2016,59630
435,11-03-2016,49581
436,12-03-2016,0
437,13-03-2016,13126
438,14-03-2016,69448
439,15-03-2016,64143
440,16-03-2016,58785
441,17-03-2016,60140
442,18-03-2016,47299
443,19-03-2016,0
444,20-03-2016,12408
445,21-03-2016,66548
446,22-03-2016,41239
447,23-03-2016,47787
448,24-03-2016,0
449,25-03-2016,2
450,26-03-2016,0
451,27-03-2016,0
452,28-03-2016,81
453,29-03-2016,83803
454,30-03-2016,72034
455,31-03-2016,66356
456,01-04-2016,53466
457,02-04-2016,0
458,03-04-2016,16703
459,04-04-2016,75591
460,05-04-2016,70795
461,06-04-2016,67892
462,07-04-2016,63477
463,08-04-2016,51001
464,09-04-2016,0
465,10-04-2016,12656
466,11-04-2016,71628
467,12-04-2016,66400
468,13-04-2016,63544
469,14-04-2016,65264
470,15-04-2016,50483
471,16-04-2016,0
472,17-04-2016,13645
473,18-04-2016,77717
474,19-04-2016,68184
475,20-04-2016,64515
476,21-04-2016,52557
477,22-04-2016,0
478,23-04-2016,0
479,24-04-2016,16819
